"CODIGO_PROVEEDOR","FORMATO","DEPARTAMENTO","DISTRITO","TIPO","DIRECCION_COMERCIAL","TRANSITO","REFERENCIA","MEDIDA","LATITUD","LONGITUD","AUDIENCIA"
"ARQ-044 A","Unipolar Digital","Arequipa","-","DIGITAL","Av. Ejército","Hacia Av. La Marina con dirección a la Plaza de armas y Monasterio Santa Catalina","A 2 cdras. Del Real Plaza / Mall Plaza Cayma / Metro / Plaza Vea.","10.80X5.40","-16.391.131","-71.543.354","3014087"
"BCO-004 B","Unipolar Digital","Lima","Barranco","DIGITAL","Av. República De Panamá","Hacia Av. el Sol con dirección al óvalo balta.","A pocas cuadras del Plaza Vea del Cortijo.","12.10X6.00","-1.213.702.789","-7.701.773.619","7206493"
"CAL-001 A","Unipolar Digital","Callao","Callao","DIGITAL","Av. Faucett Entrada Al Aeropuerto","Dirección a la Av. Canta Callao.","Frente al Aeropuerto frente al grifo Petroperú.","12.10X6.05","-12.021.505","-77.105.527","14570631"
"CHI-004 A","Unipolar Digital","Chiclayo","-","DIGITAL","Av. Bolognesi Cdra. 11 Con Grau","Del Cercado de Chiclayo y Aeropuerto.","Frente al Real Plaza Chiclayo.","10.35X6.00","-6.776.285","-79.832.372","2890843"
"CHO-006 A","Unipolar Digital","Lima","Chorrillos","DIGITAL","Av. Prolongación Matellini Con Av. Defensores Del Morro","Con dirección al Circuito de Playas","Esquina Grifo Petroperu e Inversiones La Cruz","12.00X6.00","-1.218.137.191","-7.701.222.802","5655840"
"CUS-019 B","Unipolar Digital","Cusco","-","DIGITAL","Av. La Cultura Cdra. 13 Esquina Con Pasaje Del Solar","Hacia Prolongación La Cultura con dirección a Pikillacta y Tipón","Frente a Interbank y Supermercado Orión.","12.00X6.00","-13.524.046","-71.957.916","5554329"
"HUA-018 U","Pantalla digital","Huancayo","-","DIGITAL","Av. Ferrocarril Cdra. 2","En dirección a C.C. Real Plaza Huancayo, Estadio Huancayo y Av. Coronel Leoncio Prado.","Frente a Open Plaza Huancayo y Terminal Terrestre Los Andes.","10.24X4.80","-12.062.049","-75.208.404","4591659"
"LMNA-001 B","Unipolar Digital","Lima","La Molina","DIGITAL","Av. Raúl Ferrero 1496","Hacia Av. Los Fresnos con dirección a Av. La Molina.","Próximo a Molina Plaza.","12.00X6.00","-1.209.177.467","-7.695.368.894","3857383"
"MIR-003 A","Unipolar Digital","Lima","Miraflores","DIGITAL","Av. Alfredo Benavides Cdra. 30 - Óvalo Higuereta","Hacia Wong Panamá, Paseo de la República, Instituto ISIL Parque Kennedy.","Ovalo Higuereta, frente a Plaza Vea y Estación Cabitos.","11.52X5.76","-12.128.953","-77.001.934","8969906"
"MRN-004 B","Unipolar Digital","Lima","San Miguel","DIGITAL","Av. La Marina Cdra. 20.","Hacia la Av. José de la Riva Agüero rumbo al Callao.","Frente a Plaza San Miguel.","12.00X6.00","-120.782.553","-77.082.746","9346466"
"PIU-006 B","Unipolar Digital","Piura","-","DIGITAL","Av. Sánchez Cerro Cdra. 12","Hacia Av. Loreto con dirección al Estadio Miguel Grau","Próximo a la Av. Country","12.00X6.00","-5.190.709","-80.632.394","4808636"
"SIN-001 A","Unipolar Digital","Lima","San Isidro","DIGITAL","Av. República De Panamá Con Av. Tomás Marsano","Hacia la Av. Andrés Aramburú y Centró bancario de San Isidro.","Frente a Chery Lima Autos.","12.00X6.00","-1.210.431.117","-7.701.876.836","10586739"
"SUR-010 A","Unipolar Digital","Lima","Surco","DIGITAL","Av. El Derby Con Av. Manuel Olguin","Hacia Av. Encalada con dirección a La Molina.","A unas cdras de Cc. El Polo, próximo a embajada de EE.UU","12.00X6.00","-1.209.825.666","-769.740.806","11955900"
"TRU-046 U","Unipolar Digital","Trujillo","","DIGITAL","Av. America Oeste","Frente a Saga Falabella","Frente al Mall Plaza","12.00X6.00","-810.155","-79.044.296","2121523"
"MIR-004 A","Unipolar Digital","Lima","Miraflores","DIGITAL","Av. Paseo de la República Cdra. 39","Hacia Av. Domingo Orué, distrito de Surquillo, Av. Angamos Este, Siete Sopas Surquillo y distrito de Barranco.","Centro dermatológico Axalud, cruce con la Av. José María Eguren,","12.00X6.00","-12.104.817","-77.027.795","13867770"
"MIR-004 B","Unipolar Digital","Lima","Miraflores","DIGITAL","Av. Paseo de la República Cdra. 39","Hacia la Av. Aramburú, Carnaval y Moreyra, Av. Javier Prado, Estadio Nacional, Circuito Mágico del Agua y distrito de la Victoria.","Centro dermatológico Axalud, cruce con la Av. José María Eguren,","12.00X6.00","-12.104.817","-77.027.795","12854036"