ELEMENTO,DEPARTAMENTO,DISTRITO,DIRECCION_COMERCIAL,REFERENCIA,LATITUD,LONGITUD,CARA,PANEL_CODE,TIPO,FORMATO,ANCHO,ALTO,TRANSITO,AUDIENCIA,RESOLUTION_WIDTH,RESOLUTION_HEIGHT,PHOTO_URL,OBSERVACION,DAILY_PRICE,BASE_PRICE,CURRENCY,PRICE_PERIOD,MAX_SLOTS,SLOT_DURATION_SECONDS,OPERATING_START_TIME,OPERATING_END_TIME,STATUS
AGS-006,Lima,El Agustino,Vía Evitamiento,Frente a Puente Nuevo próximo a Sodimac de San Juan de Lurigancho,-12.030369,-77.000014,A,AGS-006-A,DIGITAL,Pantalla Digital,12,6,Hacia el sur con dirección al puente Santa Anita,16599236,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/AGS-006%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
ANT-001,Lima,Santa Anita,Av. Nicolás Ayllón (Carretera Central),Frente a Centro Comercial Santa Anita puerta principal Saga Falabella.,-12.057191,-76.970954,B,ANT-001-B,DIGITAL,Pantalla Digital,12.1,6.05,Hacia el Óvalo Santa Anita.,16910554,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ANT-001%20B.webp,Presenta fallas,210,210,PEN,day,23,7,06:00:00,00:00:00,maintenance
ANT-004,Lima,Santa Anita,Av. Nicolas Ayllon (Carretera Central),Frente al Centro Comercial Mall Aventura Ripley Sagafalabella Bancos y más,-12.0568523,-76.9699033,A,ANT-004-A,DIGITAL,Pantalla Digital,8.96,3.84,Hacia Vía Evitamiento con dirección al distrito de El Agustino,13927170,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ANT-004%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
ARQ-044,Arequipa,Lima Metropolitana,Av. Ejército,A 2 cdras. Del Real Plaza / Mall Plaza Cayma / Metro / Plaza Vea.,-16.391131,-71.543354,A,ARQ-044-A,DIGITAL,Pantalla Digital,10.8,5.4,Hacia Av. La Marina con dirección a la Plaza de armas y Monasterio Santa Catalina,4433666,1280,672,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-044%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
ARQ-046,Arequipa,Lima Metropolitana,Av. Los Incas,Frente a la puerta principal del Centro Comercial y Parque Lambramani.,-16.4108478,-71.520306,A,ARQ-046-A,DIGITAL,Pantalla Digital,8,4,Hacia Av. Jesús con dirección a Paucarpata.,2876974,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-046%20A.webp,,120,120,PEN,day,23,7,06:00:00,00:00:00,available
ARQ-051,Arequipa,Lima Metropolitana,Av. El Ejército Cuadra 7 - Yanahuara,Frente al C.C Mall Plaza Cayma y Hotel Paititi rodeado de diversos negocios locales,-16.3904345,-71.5455971,A,ARQ-051-A,DIGITAL,Pantalla Digital,9.6,4.8,Hacia Av. Cayma con dirección al C.C Real Plaza,4244803,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-051%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
ARQ-052,Arequipa,Lima Metropolitana,Óvalo Quiñones,Óvalo Quiñones frente a Red de Bancos y rodeado de diversos negocios locales,-16.397271,-71.547233,A,ARQ-052-A,DIGITAL,Pantalla Digital,7.68,3.84,Hacia Av. La Marina con dirección a la Plaza de Armas,3869953,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-052%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
ARQ-055,Arequipa,Lima Metropolitana,Av. Porongoche Cdra. 5,"Frente al Mall Aventura Plaza, HM y  al costado de estilos",-16.4164748,-71.5155245,A,ARQ-055-A,DIGITAL,Pantalla Digital,12.8,7.7,Hacia Av. Los Incas con dirección al Distrito de Mariano Melgar,3690896,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-055%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
ARQ-060,Arequipa,Lima Metropolitana,Av. Jesús Cdra. 1 Berma Central,"Zona ferretera, frente al Óvalo de Mariscal Castilla",-16.4033867,-71.5164883,A,ARQ-060-A,DIGITAL,Pantalla Digital,10.24,4.8,Hacia Estadio Arequipa,5140766,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-060%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
ATE-032,Lima,Ate,Av. Nicolás Ayllón (C.C. Real Plaza Santa Clara),Próximo a la entrada principal del Centro Comercial Real Plaza Santa Clara.,-12.0151524,-76.886891,A,ATE-032-A,DIGITAL,Pantalla Digital,7.68,3.84,Hacia Huaycán Chosica.,3430941,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ATE-032%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
ATE-039,Lima,Ate,Av. Prolongación Javier Prado Con Av. Vista Alegre,Frente a Real Plaza Puruchuco y Tienda Tambo,-12.0433542,-76.930344,B,ATE-039-B,DIGITAL,Pantalla Digital,12,6,Hacia Av. Nicolás Ayllón con dirección a Hiper Plaza Vea Ceres,12889020,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ATE-039%20B.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
BCO-004,Lima,Barranco,Av. República De Panamá,A pocas cuadras del Plaza Vea del Cortijo.,-12.1370279,-77.0177362,B,BCO-004-B,DIGITAL,Pantalla Digital,12.1,6,Hacia Av. el Sol con dirección al óvalo balta.,7119510,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/BCO-004%20B.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
CAL-001,Callao,Callao,Av. Faucett Entrada Al Aeropuerto,Frente al Aeropuerto frente al grifo Petroperú.,-12.021505,-77.105527,A,CAL-001-A,DIGITAL,Pantalla Digital,12.1,6.05,Dirección a la Av. Canta Callao.,7349644,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CAL-001%20A.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
CAL-014,Callao,Callao,Av. Argentina - Frente A Minka,Frente a Centro Comercial Minka.,-12.0495116,-77.1111113,A,CAL-014-A,DIGITAL,Pantalla Digital,8,4,Hacia el Óvalo centenario.,3983597,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CAL-014%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
CAL-018,Callao,Callao,Av. Faucett,Frente a Rodizio y Rokys.,-12.0559932,-77.0975809,A,CAL-018-A,DIGITAL,Pantalla Digital,7.68,3.84,Av. Venezuela hacia Av. Óscar Benavides (Ex Colonial) dirección hacia el Aeropuerto.,5559866,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CAL-018%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
CAL-029,Callao,Callao,Av. Elmer Faucett Con Av. Morales Duárez,Frente a Estadio Politécnico Nacional del Callao,-12.0416265,-77.0991684,A,CAL-029-A,DIGITAL,Pantalla Digital,11.52,5.76,Hacia Av. La Marina - San Miguel,12797284,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CAL-029%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
CHI-004,Chiclayo,Lima Metropolitana,Av. Bolognesi Cdra. 11 Con Grau,Frente al Real Plaza Chiclayo.,-6.776285,-79.832372,A,CHI-004-A,DIGITAL,Pantalla Digital,10.35,6,Del Cercado de Chiclayo y Aeropuerto.,3860494,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CHI-004%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
CHI-031,Chiclayo,Lima Metropolitana,Av. Josemaría Escriva Balaguer cruce con Panamericana Norte,Frente al Mall Aventura Chiclayo y Hospital Regional de Lambayeque,-6.7624722,-79.8601546,B,CHI-031-B,DIGITAL,Pantalla Digital,11.52,5.76,"Hacia la Carretera Panamericana Norte, Motormundo Chiclayo, concesionario de Camiones, Óvalo Av. Chiclayo Noroeste",1300791,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CHI-031%20B.webp,,120,120,PEN,day,23,7,06:00:00,00:00:00,available
CHO-006,Lima,Chorrillos,Av. Prolongación Matellini Con Av. Defensores Del Morro,Esquina Grifo Petroperu e Inversiones La Cruz,-12.1813719,-77.012228,A,CHO-006-A,DIGITAL,Pantalla Digital,12,6,Con dirección al Circuito de Playas,4880340,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CHO-006%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
CHO-007,Lima,Chorrillos,Av. Paseo De La República Cdra. 09,Frente a Centro Comercial Plaza Lima Sur y Metropolitano,-12.1739511,-77.0146979,A,CHO-007-A,DIGITAL,Pantalla Digital,12.82,5.8,Con dirección a la Av. Ariosto Matellini,6415406,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CHO-007%20A.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
CHO-009,Lima,Chorrillos,Av. Prolongación Huaylas Cruce Con Calle Santa Teresa,Cercano a grifos agencias bancarias y restaurantes . En dirección a Plaza Vea Banco de Crédito,-12.18387,-77.008808,B,CHO-009-B,DIGITAL,Pantalla Digital,10.24,4.8,Hacia el sur intersección de Av. Paseo la República Av. Guardia Civil y Av. Defensores del Morro,6857679,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CHO-009%20B.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
COM-018,Lima,Comas,Av. Túpac Amaru Con Jr. Aravicus Cdra. 1,Alt de Estación Izaguirre rumbo a la estación Naranjal y Comas. Próximo a Hiraoka Royal Plaza y Megaplaza,-11.9877055,-77.0571644,B,COM-018-B,DIGITAL,Pantalla Digital,9.6,4.8,Hacia el norte con dirección a Comas,17953603,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/COM-018%20B.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
CUS-019,Cusco,Lima Metropolitana,Av. La Cultura Cdra. 13 Esquina Con Pasaje Del Solar,Frente a Interbank y Supermercado Orión.,-13.524046,-71.957916,B,CUS-019-B,DIGITAL,Pantalla Digital,10.24,4.8,Hacia Prolongación La Cultura con dirección a Pikillacta y Tipón,6522193,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CUS-019%20B.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
CUS-021,Cusco,Lima Metropolitana,Av. Alameda Pachacutec,Frente a Parque Urpicha,-13.5308649,-71.9692596,A,CUS-021-A,DIGITAL,Pantalla Digital,10.4,5.4,Hacia el Óvalo Pachacutec con dirección al Aeropuerto,4424409,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CUS-021%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
ICA-009,Ica,Lima Metropolitana,Av. Municipalidad cruce con J. J. Elías.,"Ubicado cerca al terminal terrerstre de Ica, a una cdra. De Plaza de Armas.",-14.0643145,-75.7323003,A,ICA-009-A,DIGITAL,Pantalla Digital,10.24,4.8,Camino a Plaza Sol de Ica,0,1280,720,,,120,120,PEN,day,23,7,06:00:00,00:00:00,available
IND-006,Lima,Independencia,Av. Tomas Valle Con Av. Alfredo Mendiola,Frente al Centro Comercial “Plaza Norte”.,-12.0081309,-77.060927,A,IND-006-A,DIGITAL,Pantalla Digital,7.68,3.84,Hacia Av. Tupac Amaru. Frente a plaza norte.,14578787,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/IND-006%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
IND-022,Lima,Independencia,Av. Gerardo Unger Cdra. 71 Con Calle Villa Hermosa,A 150 metros antes del Centro Comercial Plaza Norte,-12.000744,-77.055133,A,IND-022-A,DIGITAL,Pantalla Digital,12,6,Hacia Rímac Óvalo Habich,16844631,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/IND-022%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
JM-002,Lima,Jesus Maria,Av. 28 De Julio Con Av. Felipe Salaverry,Frente al Óvalo Jorge Chávez.,-12.064563,-77.038575,A,JM-002-A,DIGITAL,Pantalla Digital,8.96,4.8,Hacia Av. Cuba con dirección al Ministerio de Salud y Av. Javier Prado Oeste.,15215070,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/JM-002%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
JM-007,Lima,Jesus Maria,Av. Salaverry Con Guillermo Prescot,Frente a la Universidad del Pacífico y el grifo Primax; cerca de Real Plaza Salaverry y la UPC,-12.0852305,-77.0490409,A,JM-007-A,DIGITAL,Pantalla Digital,8,4,Hacia la Av. Javier Prado,4220713,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/JM-007%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
JM-009,Lima,Jesus Maria,Av. Faustino Sánchez Carrión (Pershing),Cerca al Metro de Pershing a pocas cuadras del Centro Comercial Real Plaza de Salaverry.,-12.0910951,-77.0558739,A,JM-009-A,DIGITAL,Pantalla Digital,12,6,Hacia Av. Brasil con dirección al Hospital Militar.,8168563,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/JM-009%20A.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
LAV-007,Lima,La Victoria,Av. Paseo De La Republica Con Av Canada,Al lado de Mitsui Automotriz.,-12.082522,-77.026064,A,LAV-007-A,DIGITAL,Pantalla Digital,12.4,6.2,Dirección a Av. México Centro de Lima y Estadio Nacional.,12714531,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LAV-007%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
LAV-008,Lima,La Victoria,Av. Canadá Con Av. Nicolás Arriola Cdra. 18,Frente a Metro de Canadá.,-12.0832249,-77.0141176,A,LAV-008-A,DIGITAL,Pantalla Digital,7.68,3.84,De Av. Aviación hacia la Vía Expresa – Paseo de la República.,6452053,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LAV-008%20A.webp,,180,180,PEN,day,23,7,06:00:00,00:00:00,available
LAV-016,Lima,La Victoria,Av. México Con Jr. Gamarra,Ingreso al centro comercial Gama Plaza. Tienda ancla: Metro Cine Mark Smart Fit,-12.0724262,-77.0127946,A,LAV-016-A,DIGITAL,Pantalla Digital,8,4,Hacia Av. Parinacocha con dirección a la Vía Expresa.,3598551,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LAV-016%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
LCE-003,Lima,Lince,Av. Arequipa Cdra. 18 cruce con Jr. Manuel Candamo,Esquina de Clínica San Clemente cerca a Centro Comercial Arenales.,-12.0825099,-77.0347178,A,LCE-003-A,DIGITAL,Pantalla Digital,10,4,Hacia Circuito Mágico del Agua y Cercado de Lima.,0,1280,720,,"Elemento por instalar, en trámite de medidor, Sera Elemento tradicional",120,120,PEN,day,23,7,06:00:00,00:00:00,maintenance
LCE-004,Lima,Lince,Av. Arequipa cruce con Jr. Risso,"Costado del Centro Comercial Risso y Restaurante La Leña, en la esquina se encuentra Scotiabank",-12.0855833,-77.0340556,A,LCE-004-A,DIGITAL,Pantalla Digital,10.8,4.8,Hacia Circuito Mágico del Agua y Cercado de Lima.,0,1280,720,,"Elemento por instalar, en trámite de medidor",120,120,PEN,day,23,7,06:00:00,00:00:00,maintenance
LMNA-001,Lima,La Molina,Av. Raúl Ferrero 1496,Próximo a Molina Plaza.,-12.0917747,-76.9536889,B,LMNA-001-B,DIGITAL,Pantalla Digital,12,6,Hacia Av. Los Fresnos con dirección a Av. La Molina.,5275689,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-001%20B.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
LMNA-005,Lima,La Molina,AV. Raul Ferrero CDRA 12,Frente a La Molina Plaza Wong Grifo Repsol y Plaza Vea.,-12.0907889,-76.9510412,A,LMNA-005-A,DIGITAL,Pantalla Digital,10.24,4.8,Hacia Av. Los Fresnos.,5124201,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-005%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
LMNA-019,Lima,La Molina,Av. Javier Prado Este Con Av. Los Frutales,Frente a Centro Comercial La Fontana.,-12.0755517,-76.9638061,B,LMNA-019-B,DIGITAL,Pantalla Digital,12,6,Hacia Av. La Molina con dirección al Estadio Monumental de Universitario de Deportes,7241803,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-019%20B.webp,Pantalla exclusica para LEXUS TOYOTA,180,180,PEN,day,23,7,06:00:00,00:00:00,available
LMNA-020,Lima,La Molina,Óvalo Monitor Con Av. Las Palmeras,Frente a Óvalo Monitor,-12.082836,-76.9701614,A,LMNA-020-A,DIGITAL,Pantalla Digital,12,6,Vía de unión entre Av. Javier Prado Este Av. Las Palmeras y Club Golf los Incas,10918543,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-020%20A.webp,Se visualiza entrando al óvalo y comercial indica que se visualiza también desde el puente ,210,210,PEN,day,23,7,06:00:00,00:00:00,available
LMNA-024,Lima,La Molina,Dirección comercial: Av. Ricardo Elías Aparicio cruce con Av. La Molina.,Frente a Molicentro y Escuela de Equitación.,-12.0818193,-76.928283,U,LMNA-024-U,DIGITAL,Pantalla Digital,11.52,5.76,Hacia Country Club La Planicie de La Molina.,0,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-024%20U.webp,En trámite de medidor,120,120,PEN,day,23,7,06:00:00,00:00:00,maintenance
MIR-004,Lima,Miraflores,Av. Paseo de la República Cdra. 39,"Centro dermatológico Axalud, cruce con la Av. José María Eguren,",-12.104817,-77.027795,A,MIR-004-A,DIGITAL,Pantalla Digital,12,6,"Hacia Av. Domingo Orué, distrito de Surquillo, Av. Angamos Este, Siete Sopas Surquillo y distrito de Barranco.",12950876,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-004%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
MIR-004,Lima,Miraflores,Av. Paseo de la República Cdra. 39,"Centro dermatológico Axalud, cruce con la Av. José María Eguren,",-12.104817,-77.027795,B,MIR-004-B,DIGITAL,Pantalla Digital,12,6,"Hacia la Av. Aramburú, Carnaval y Moreyra, Av. Javier Prado, Estadio Nacional, Circuito Mágico del Agua y distrito de la Victoria.",12125739,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-004%20B.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
